Country;Unemployment_rate
Afghanistan;1.56
Albania;13.75
Algeria;12
Angola;7.14
Argentina;8.35
Armenia;17.83
Australia;5.59
Austria;5.5
Azerbaijan;5
Bahamas;12.38
Bahrain;0.95
Bangladesh;4.37
Barbados;9.49
Belarus;5.65
Belgium;7.09
Belize;9
Benin;2.18
Bhutan;2.17
Bolivia;2.17
Bosnia and Herzegovina;20.47
Botswana;17.63
Brazil;12.83
Brunei;9.32
Bulgaria;6.15
Burkina Faso;6.01
Burma (Myanmar);1.55
Burundi;1.5
Cambodia;1.06
Cameroon;3.36
Canada;6.34
Cape Verde;12.24
Central African Republic;6.45
Chad;2.2
Chile;6.96
China;4.4
Colombia;8.87
Comoros;3.7
Costa Rica;8.14
Croatia;11.21
Cuba;2.28
Cyprus;11.05
Czech Republic;2.89
Democratic Republic of the Congo;10.16
Denmark;5.74
Dominican Republic;5.83
Ecuador;3.84
Egypt;11.77
El Salvador;4.39
Equatorial Guinea;9.15
Eritrea;6.5
Estonia;5.76
Ethiopia;1.81
Fiji;4.14
Finland;8.64
France;9.4
Gabon;19.37
Gambia;8.91
Georgia;13.93
Germany;3.75
Ghana;6.63
Greece;21.49
Guatemala;2.68
Guinea;3.57
Guinea-Bissau;4.03
Guyana;12.11
Haiti;13.4
Honduras;4.05
Hong Kong;3.09
Hungary;4.16
Iceland;2.74
India;2.56
Indonesia;4.18
Iran;12.1
Iraq;7.89
Ireland;6.71
Israel;4.22
Italy;11.21
Ivory Coast;2.49
Jamaica;11.66
Japan;2.8
Jordan;14.88
Kazakhstan;4.9
Kenya;9.29
Kuwait;2
Kyrgyzstan;6.89
Laos;0.6
Latvia;8.72
Lebanon;6.11
Lesotho;23.61
Liberia;2.03
Libya;2.03
Lithuania;7.07
Luxembourg;5.52
Macao;2
Macedonia;22.38
Madagascar;1.67
Malawi;5.47
Malaysia;3.41
Maldives;5.83
Mali;9.44
Malta;4.57
Mauritania;10.28
Mauritius;6.75
Mexico;3.42
Moldova;4.1
Mongolia;6.36
Montenegro;16.07
Morocco;9.05
Mozambique;3.17
Namibia;23.09
Nepal;1.25
Netherlands;4.84
New Caledonia;13.8
New Zealand;4.7
Nicaragua;4.21
Niger;0.28
Nigeria;6.01
North Korea;3.29
Norway;4.16
Oman;3.14
Pakistan;3.14
Palestine;27.44
Panama;3.9
Papua New Guinea;2.35
Paraguay;4.61
Peru;3.46
Philippines;2.55
Poland;4.89
Portugal;8.87
Puerto Rico;10.8
Qatar;0.14
Republic of the Congo;10.16
Romania;4.93
Russia;5.21
Rwanda;0.95
Saint Lucia;20.79
Saint Vincent and the Grenadines;19.73
Samoa;8.32
Sao Tome and Principe;13.14
Saudi Arabia;5.89
Senegal;6.44
Serbia;13.48
Sierra Leone;4.32
Singapore;3.91
Slovakia;8.13
Slovenia;6.56
Solomon Islands;1.77
Somalia;13.91
South Africa;27.33
South Korea;3.7
Spain;17.22
Sri Lanka;4.18
Sudan;12.77
Suriname;7.6
Swaziland;22.34
Sweden;6.72
Switzerland;4.8
Syria;8.03
Tajikistan;10.74
Tanzania;1.94
Thailand;0.63
Togo;1.66
Tonga;1
Trinidad and Tobago;2.82
Tunisia;15.38
Turkey;10.82
Turkmenistan;3.69
Uganda;1.7
Ukraine;9.51
United Arab Emirates;2.46
United Kingdom;4.34
Uruguay;7.89
USA;4.36
Uzbekistan;4.97
Vanuatu;5.42
Venezuela;7.42
Vietnam;1.89
Yemen;13.18
Zambia;7.21
Zimbabwe;4.94
