,Rank,Country,EducationIndex,Expected yearsof schooling,Mean years of schooling,HDI rank,Continent
0,1, Australia,0.939,20.4,13.2,2,Oceania
1,2, Denmark,0.923,19.2,12.7,5,Europe
2,3, New Zealand,0.917,19.2,12.5,13,Oceania
3,4, Norway,0.916,17.7,12.7,1,Europe
4,5, Germany,0.914,17.1,13.2,4,Europe
5,6, Ireland,0.910,18.6,12.3,8,Europe
6,7, Iceland,0.906,19.0,12.2,9,Europe
7,8, United States,0.900,16.5,13.2,10,North America
8,9, Netherlands,0.897,18.1,11.9,7,Europe
9,10, United Kingdom,0.896,16.3,13.3,16,Europe
10,11,  Switzerland,0.891,16.0,13.4,2,Europe
11,12, Canada,0.890,16.3,13.1,10,North America
12,13, Slovenia,0.886,17.3,12.1,25,Europe
13,14, Lithuania,0.882,16.5,12.7,37,Europe
14,15, Czech Republic,0.878,16.8,12.3,28,Europe
15,16, Estonia,0.877,16.5,12.5,30,Europe
16,17, Israel,0.870,16.0,12.8,19,Asia
17,18, South Korea,0.867,16.6,12.2,18,Asia
18,19, Sweden,0.855,16.1,12.3,14,Europe
19,20, Poland,0.852,16.4,11.9,36,Europe
20,21, Finland,0.847,17.0,11.2,23,Europe
21,22, Japan,0.842,15.3,12.5,17,Asia
22,23, Belgium,0.841,16.6,11.4,22,Europe
23,24, France,0.839,16.3,11.6,21,Europe
24,25, Latvia,0.835,16.0,11.7,44,Europe
25,26, Belarus,0.834,15.7,12.0,52,Europe
26,26, Hungary,0.834,15.6,12.0,43,Europe
27,28, Greece,0.830,17.2,10.5,29,Europe
28,29, Slovakia,0.823,15.0,12.2,40,Europe
29,30, Hong Kong,0.822,15.7,11.6,12,Asia
30,31, Austria,0.820,15.9,11.3,24,Europe
31,32, Liechtenstein,0.818,14.6,12.4,15,Europe
32,32, Spain,0.818,17.7,9.8,27,Europe
33,34, Russian Federation,0.816,15.0,12.0,49,Europe
34,35, Italy,0.814,16.3,10.9,26,Europe
35,35, Singapore,0.814,15.4,11.6,5,Asia
36,37, Argentina,0.808,17.3,9.8,45,South America
37,37, Palau,0.808,14.3,12.3,60,Oceania
38,39, Kazakhstan,0.805,15.0,11.7,56,Europe
39,40, Ukraine,0.803,15.3,11.3,84,Europe
40,41, Croatia,0.798,15.3,11.2,45,Europe
41,42, Montenegro,0.797,15.1,11.3,48,Europe
42,43, Georgia,0.794,13.9,12.2,70,Europe
43,44, Cyprus,0.786,14.3,11.7,33,Europe
44,45, Chile,0.784,16.3,9.9,38,South America
45,46, Luxembourg,0.783,13.9,12.0,20,Europe
46,47, Malta,0.781,14.6,11.3,33,Europe
47,48, Cuba,0.779,13.9,11.8,68,North America
48,49, Bulgaria,0.778,15.0,10.8,56,Europe
49,50, Fiji,0.777,15.3,10.5,91,Oceania
50,51, Romania,0.769,14.7,10.8,50,Europe
51,52, Barbados,0.773,15.3,10.5,54,North America
52,53, Saudi Arabia,0.768,16.1,9.6,38,Asia
53,54, Tonga,0.766,14.3,11.1,101,Oceania
54,55, Serbia,0.760,14.4,10.8,66,Europe
55,56, Portugal,0.756,16.6,8.9,41,Europe
56,57, Sri Lanka,0.752,14.0,10.9,73,Asia
57,58, Uzbekistan,0.740,12.2,12.0,105,Asia
58,59, Mongolia,0.737,14.8,9.8,92,Asia
59,60, Armenia,0.730,12.7,11.3,84,Europe
60,61, Grenada,0.725,15.8,8.6,79,North America
61,61, Mauritius,0.725,15.2,9.1,64,Africa
62,61, Moldova,0.725,11.8,11.9,107,Europe
63,64, Azerbaijan,0.723,12.7,11.2,78,Europe
64,65, Kyrgyzstan,0.721,13.0,10.8,120,Asia
65,66, Andorra,0.718,13.5,10.3,32,Europe
66,67, Bahrain,0.717,14.5,9.4,47,Asia
67,67, Trinidad and Tobago,0.717,12.7,10.9,65,North America
68,67, Uruguay,0.717,15.5,8.6,54,South America
69,70, Brunei Darussalam,0.716,14.9,9.0,30,Asia
70,71, Albania,0.715,14.2,9.6,75,Europe
71,71, Bahamas,0.715,12.7,10.9,58,North America
72,73, Venezuela,0.710,14.3,9.4,71,South America
73,74, Seychelles,0.706,14.1,9.4,63,Africa
74,75, South Africa,0.705,13.0,10.3,119,Africa
75,76, Belize,0.704,12.8,10.5,103,North America
76,76, Iran,0.704,14.8,8.8,69,Asia
77,78, Samoa,0.702,12.9,10.3,104,Oceania
78,79, Jordan,0.701,13.1,10.1,86,Asia
79,80, Malaysia,0.700,13.1,10.1,59,Asia
80,81, Qatar,0.698,13.4,9.8,33,Asia
81,82, Antigua and Barbuda,0.694,13.9,9.2,62,North America
82,82, Bosnia and Herzegovina,0.694,14.2,9.0,81,Europe
83,84, Panama,0.691,13.0,9.9,60,North America
84,85, United Arab Emirates,0.687,13.3,9.5,42,Asia
85,86, Costa Rica,0.684,14.2,8.7,66,North America
86,87, Brazil,0.681,15.2,7.8,79,South America
87,88, Jamaica,0.678,12.8,9.6,94,North America
88,89, Saint Lucia,0.677,13.1,9.3,92,North America
89,90, Macedonia,0.673,12.9,9.4,82,Europe
90,91, Peru,0.672,13.4,9.0,87,South America
91,92, Turkey,0.668,14.6,7.9,71,Europe
92,93, Ecuador,0.665,14.0,8.3,89,South America
93,94, Saint Kitts and Nevis,0.659,13.7,8.4,74,North America
94,95, Algeria,0.658,14.4,7.8,83,Africa
95,95, Botswana,0.658,12.6,9.2,108,Africa
96,95, Tajikistan,0.658,11.3,10.4,129,Asia
97,98, Saint Vincent and the Grenadines,0.657,13.3,8.6,99,North America
98,99, Bolivia,0.656,13.8,8.2,118,South America
99,99, Lebanon,0.656,13.3,8.6,76,Asia
100,101, Mexico,0.655,13.3,8.6,77,North America
101,101, Palestine,0.655,12.8,8.9,114,Asia
102,103, Oman,0.652,13.7,8.1,52,Asia
103,104, Micronesia,0.649,11.7,9.7,127,Oceania
104,105, Tunisia,0.643,14.6,7.1,97,Africa
105,106, Thailand,0.641,13.6,7.9,87,Asia
106,107, Philippines,0.637,11.7,9.3,116,Asia
107,108, China,0.631,13.5,7.6,90,Asia
108,109, Colombia,0.630,13.6,7.6,95,South America
109,109, Suriname,0.630,12.7,8.3,97,South America
110,111, Turkmenistan,0.629,10.8,9.9,111,Asia
111,112, India,0.624,11.7,6.3,131,Asia
112,113, Dominican Republic,0.622,13.2,7.7,99,North America
113,113, Indonesia,0.622,12.9,7.9,113,Asia
114,115, Dominica,0.618,12.8,7.9,96,North America
115,115, Gabon,0.618,12.6,8.1,109,Africa
116,117, Viet Nam,0.617,12.6,8.0,115,Asia
117,118, Libya,0.616,13.4,7.3,102,Africa
118,119, Paraguay,0.613,12.3,8.1,110,South America
119,120, Kuwait,0.611,13.3,7.3,51,Asia
120,121, Egypt,0.601,13.1,7.1,111,Africa
121,121, Kiribati,0.590,11.9,7.8,137,Oceania
122,123, El Salvador,0.584,13.2,6.5,117,North America
123,124, Zambia,0.577,12.5,6.9,139,Africa
124,125, Guyana,0.568,10.3,8.4,127,South America
125,126, Maldives,0.561,12.7,6.2,105,Asia
126,127, Ghana,0.551,11.5,6.9,139,Africa
127,128, Pakistan,0.550,12.1,10.1,147,Asia
128,129, Namibia,0.546,11.7,6.7,125,Africa
129,130, Swaziland,0.545,11.4,6.8,148,Africa
130,131, Zimbabwe,0.544,10.3,7.7,154,Africa
131,132, Nicaragua,0.542,11.7,6.5,124,North America
132,133, Cabo Verde,0.534,13.5,4.8,122,Africa
133,134, Vanuatu,0.526,10.8,6.8,134,Oceania
134,135, Congo,0.520,11.1,6.3,135,Africa
135,136, Honduras,0.518,11.2,6.2,130,North America
136,136, Kenya,0.518,11.1,6.3,146,Africa
137,138, Sao Tome and Principe,0.509,12.0,5.3,142,Africa
138,139, Guatemala,0.508,10.7,6.3,125,North America
139,140, Lesotho,0.503,10.7,6.1,160,Africa
140,140, Morocco,0.503,12.1,5.0,123,Africa
141,142, Iraq,0.500,10.1,6.6,121,Asia
142,143, Timor-Leste,0.494,12.5,4.4,133,Asia
143,144, Cameroon,0.493,10.4,6.1,153,Africa
144,145, Madagascar,0.492,10.3,6.1,158,Africa
145,146, Togo,0.489,12.0,4.7,166,Africa
146,147, Angola,0.482,11.4,5.0,150,Africa
147,148, Nigeria,0.477,10.0,6.0,152,Africa
148,149, Democratic Republic of the Congo,0.475,9.8,6.1,176,Africa
149,149,   Nepal,0.475,12.2,4.1,144,Asia
150,151, Laos,0.474,10.8,5.2,138,Asia
151,152, Comoros,0.469,11.1,4.8,160,Africa
152,153, Uganda,0.467,10.0,5.7,163,Africa
153,154, Cambodia,0.459,10.9,4.7,143,Asia
154,155, Bangladesh,0.457,10.2,5.2,139,Asia
155,156, Bhutan,0.452,12.5,3.1,132,Asia
156,157, Malawi,0.445,10.8,4.4,170,Africa
157,157, Solomon Islands,0.445,9.6,5.3,156,Oceania
158,159, Tanzania,0.441,8.9,5.8,151,Africa
159,160, Equatorial Guinea,0.439,9.2,5.5,135,Africa
160,161, Rwanda,0.426,10.8,3.8,159,Africa
161,162, Haiti,0.425,9.1,5.2,163,North America
162,163, Liberia,0.423,9.9,4.4,177,Africa
163,164, Papua New Guinea,0.419,9.9,4.3,154,Oceania
164,165, Syrian Arab Republic,0.417,9.0,5.1,149,Asia
165,166, Cote d'Ivoire,0.415,8.9,5.0,171,Africa
166,167, Benin,0.414,10.7,3.5,167,Africa
167,168, Myanmar,0.410,9.1,4.7,145,Asia
168,169, Afghanistan,0.398,10.1,3.5,169,Asia
169,170, Burundi,0.395,10.6,3.0,184,Africa
170,171, Mauritania,0.377,8.5,4.3,157,Africa
171,172, Sierra Leone,0.374,9.5,3.3,179,Africa
172,173, Mozambique,0.369,9.1,3.5,181,Africa
