,Country,Safety_index,Ranking,Happiness_Score
0,Iceland,0.94,3,7.50400018692017
1,Denmark,0.938,2,7.52199983596802
2,New Zealand,0.909,8,7.31400012969971
3,Austria,0.905,13,7.00600004196167
4,Singapore,0.903,26,6.57200002670288
5,Finland,0.898,5,7.468999862670901
6,Canada,0.884,7,7.31599998474121
7,Switzerland,0.884,4,7.49399995803833
8,Norway,0.8809999999999999,1,7.537000179290769
9,Czech Republic,0.8740000000000001,23,6.60900020599365
10,Slovenia,0.867,62,5.75799989700317
11,Australia,0.862,10,7.28399991989136
12,Germany,0.848,16,6.9510002136230495
13,South Korea,0.8440000000000001,55,5.837999820709231
14,Netherlands,0.84,6,7.3769998550415
15,Poland,0.8370000000000001,46,5.97300004959106
16,Sweden,0.8320000000000001,9,7.28399991989136
17,Spain,0.828,34,6.40299987792969
18,Croatia,0.8270000000000001,77,5.2930002212524405
19,Ireland,0.8270000000000001,15,6.977000236511231
20,Qatar,0.825,35,6.375
21,Hungary,0.821,75,5.32399988174438
22,Estonia,0.8170000000000001,66,5.61100006103516
23,Japan,0.802,51,5.92000007629395
24,Latvia,0.8009999999999999,54,5.849999904632571
25,Chile,0.8009999999999999,20,6.65199995040894
26,Bulgaria,0.8,105,4.71400022506714
27,Romania,0.7929999999999999,57,5.824999809265139
28,Slovakia,0.7929999999999999,40,6.09800004959106
29,Mauritius,0.792,64,5.62900018692017
30,United Arab Emirates,0.782,21,6.6479997634887695
31,Lithuania,0.78,52,5.90199995040894
32,Italy,0.7659999999999999,48,5.96400022506714
33,United Kingdom,0.762,19,6.71400022506714
34,Uruguay,0.762,28,6.4539999961853
35,Serbia,0.7609999999999999,73,5.39499998092651
36,Cyprus,0.7559999999999999,65,5.62099981307983
37,Albania,0.745,109,4.64400005340576
38,Mongolia,0.731,100,4.95499992370605
39,Greece,0.73,87,5.227000236511231
40,Ghana,0.7240000000000001,131,4.11999988555908
41,Vietnam,0.722,94,5.07399988174438
42,Kazakhstan,0.72,60,5.8189997673034695
43,Namibia,0.718,111,4.57399988174438
44,Argentina,0.6970000000000001,24,6.59899997711182
45,Belgium,0.695,17,6.89099979400635
46,Cambodia,0.688,129,4.1680002212524405
47,Malaysia,0.6859999999999999,42,6.08400011062622
48,Montenegro,0.6759999999999999,83,5.23699998855591
49,Moldova,0.6679999999999999,56,5.837999820709231
50,China,0.6659999999999999,79,5.2729997634887695
51,Kuwait,0.654,39,6.10500001907349
52,France,0.64,31,6.44199991226196
53,Costa Rica,0.638,12,7.0789999961853
54,Georgia,0.625,125,4.28599977493286
55,Tanzania,0.595,153,3.34899997711182
56,Armenia,0.5920000000000001,121,4.37599992752075
57,Panama,0.591,30,6.4520001411438
58,Indonesia,0.58,81,5.26200008392334
59,Sri Lanka,0.5770000000000001,120,4.44000005722046
60,Nepal,0.5760000000000001,99,4.961999893188481
61,Bolivia,0.575,58,5.82299995422363
62,Togo,0.5670000000000001,150,3.4949998855590803
63,Portugal,0.5670000000000001,89,5.19500017166138
64,Botswana,0.551,142,3.7660000324249294
65,Jamaica,0.547,76,5.31099987030029
66,Dominican Republic,0.542,86,5.230000019073491
67,Ecuador,0.541,44,6.00799989700317
68,Tunisia,0.537,102,4.80499982833862
69,Morocco,0.5329999999999999,84,5.2350001335144
70,Brazil,0.519,22,6.63500022888184
71,Guatemala,0.517,29,6.4539999961853
72,Jordan,0.517,74,5.33599996566772
73,Zimbabwe,0.514,138,3.875
74,Malawi,0.511,136,3.97000002861023
75,Zambia,0.506,116,4.513999938964839
76,El Salvador,0.506,45,6.0029997825622585
77,Azerbaijan,0.5,85,5.2340002059936515
78,Sierra Leone,0.499,106,4.70900011062622
79,Peru,0.49700000000000005,63,5.71500015258789
80,Honduras,0.49700000000000005,91,5.1810002326965305
81,Thailand,0.491,32,6.423999786376951
82,Bangladesh,0.49,110,4.60799980163574
83,Madagascar,0.484,144,3.64400005340576
84,Israel,0.479,11,7.212999820709231
85,South Africa,0.478,101,4.8289999961853
86,Philippines,0.47700000000000004,72,5.42999982833862
87,Iran,0.467,108,4.69199991226196
88,India,0.46399999999999997,122,4.31500005722046
89,Saudi Arabia,0.46,37,6.343999862670901
90,Lesotho,0.45799999999999996,139,3.80800008773804
91,Mexico,0.457,25,6.57800006866455
92,Bahrain,0.455,41,6.08699989318848
